Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
211,323,100,146,121,73,79,225
221,309,96,135,103,60,66,204
265,355,130,135,104,69,79,202
274,341,152,149,118,77,80,200
223,345,166,131,106,75,74,150
228,352,177,135,92,71,74,145
220,384,182,134,90,71,78,141
185,354,168,133,90,74,88,163
183,343,153,122,73,67,103,152
185,297,134,120,76,65,106,145
186,315,117,117,75,65,105,169
183,301,129,114,71,65,106,170
179,305,129,142,64,55,117,184
173,308,125,140,63,54,106,174
166,317,119,131,67,53,102,177
173,312,132,128,65,52,104,155
187,306,118,127,63,51,106,156
169,310,109,104,67,50,81,116
196,346,120,102,69,45,101,157
192,348,117,113,63,47,105,159
187,391,109,110,62,44,110,159
165,378,112,100,73,43,108,160
193,366,119,98,71,41,108,184
173,333,110,96,67,48,100,169
178,363,115,80,67,52,100,165
178,307,111,90,73,57,109,168
185,298,112,96,63,59,111,170
173,292,100,95,66,61,112,196
164,298,110,94,63,58,96,176
176,289,135,117,63,56,109,184
168,305,142,116,61,60,101,225
158,324,139,115,63,60,99,229
156,358,144,118,66,57,99,190
153,349,141,132,71,57,100,186
141,322,109,137,71,58,83,194
187,337,116,143,83,58,77,171
198,351,115,147,91,58,113,191
188,319,117,159,92,57,111,187
185,299,129,162,101,62,113,187
190,361,133,144,105,60,112,180
152,336,119,137,96,73,117,172
145,349,128,151,90,84,104,157
144,342,120,136,83,87,105,155
176,376,99,123,72,84,103,160
174,311,93,125,72,86,104,155
196,329,97,129,67,71,99,143
212,321,93,103,66,58,92,153
204,329,97,115,65,54,90,153
188,312,92,147,68,56,95,158
191,331,100,149,67,54,97,161
156,314,107,151,68,52,98,151
132,308,100,156,68,54,86,125
150,321,101,177,81,58,88,125
137,335,110,159,75,61,92,126
126,337,113,163,80,63,91,124
140,325,101,161,82,64,105,141
144,300,110,155,85,62,110,147
129,289,114,144,93,61,105,143
135,253,128,129,95,56,95,137
161,228,123,120,89,68,94,143
176,250,130,115,88,72,94,145
174,255,120,126,91,80,102,152
171,265,115,143,74,78,103,152
172,279,89,143,68,78,110,150
154,279,92,156,69,65,112,145
127,259,89,172,69,68,142,153
136,302,95,169,65,58,148,142
138,287,96,150,61,56,151,151
141,272,109,170,67,56,146,152
131,261,103,158,72,64,146,145
139,290,101,145,72,55,107,116
128,279,95,141,73,60,105,116
121,273,93,141,73,59,109,106
110,267,94,130,75,62,119,109
145,279,91,131,68,52,117,111
143,264,95,131,70,51,120,129
142,215,104,134,69,54,132,119
143,228,106,111,73,60,136,121
136,222,89,96,67,58,127,118
95,224,95,100,69,61,131,141
97,234,94,91,64,68,155,122
129,262,94,84,68,66,131,135
136,253,94,97,73,63,123,137
138,271,107,99,77,63,125,134
147,281,109,108,81,62,121,109
138,275,113,108,83,58,102,123
112,261,102,108,80,58,122,122
104,267,99,107,72,58,124,120
104,256,88,113,68,56,124,121
118,299,79,106,64,56,125,128
121,279,89,104,64,55,110,121
125,276,92,104,61,46,93,118
127,283,91,126,62,44,94,131
128,302,93,121,60,46,92,131
106,237,95,124,61,47,91,132
103,247,78,126,64,49,112,132
96,273,95,129,68,53,113,146
102,269,101,110,75,53,108,140
99,257,104,116,85,56,111,141
99,273,104,110,84,54,110,133
109,277,111,108,81,50,96,132
129,256,94,99,74,46,102,138
132,256,97,142,74,47,105,133
136,254,101,139,65,39,101,129
135,234,105,141,66,40,104,130
134,251,110,141,66,44,106,145
162,265,113,147,70,48,106,113
155,261,120,117,68,49,107,122
155,246,133,114,67,51,111,131
161,272,129,129,68,53,114,134
158,243,117,142,75,53,149,157
103,237,123,140,73,52,147,164
108,229,115,136,79,53,150,161
109,237,97,138,83,53,155,157
104,216,101,126,81,51,171,166
104,232,103,123,78,52,148,147
111,227,97,126,79,54,154,152
114,241,101,157,81,55,149,142
118,280,109,156,81,60,152,141
134,294,121,150,80,61,135,128
126,284,135,147,77,63,144,155
128,271,135,163,76,60,142,150
117,269,127,122,66,58,142,156
102,232,125,122,63,52,134,156
74,239,108,122,59,51,147,159
85,239,86,118,58,48,178,151
83,242,86,90,60,48,192,175
95,263,87,95,65,52,203,183
96,255,78,108,72,54,202,184
98,227,83,120,75,55,188,182
93,237,87,120,74,56,163,186
99,253,97,117,71,58,140,171
101,209,107,137,72,63,136,158
101,229,105,127,75,66,136,155
116,257,117,117,84,65,134,151
114,254,113,128,86,62,118,113
112,245,105,131,88,66,143,98
109,246,94,105,78,59,135,102
116,221,95,103,67,53,132,101
101,205,72,104,56,54,136,105
117,226,83,95,60,56,119,101
108,212,82,89,59,46,79,119
106,208,80,117,62,45,75,125
100,210,71,121,66,44,76,123
102,191,95,120,64,44,68,122
86,168,89,115,58,42,83,127
93,162,87,113,56,43,84,124
115,191,104,98,63,41,80,113
117,192,109,128,67,42,82,114
118,188,93,141,71,40,99,119
117,168,90,150,73,50,129,112
124,176,88,151,75,61,130,104
101,172,84,143,67,62,132,108
96,158,77,122,64,64,132,108
89,167,80,101,56,62,121,104
105,176,83,92,55,60,100,149
95,181,86,92,54,51,128,190
93,158,69,111,60,51,132,187
95,205,74,120,72,52,130,187
110,229,88,137,76,52,130,198
95,216,86,134,76,49,121,169
108,229,83,138,75,49,102,123
109,231,97,165,83,48,91,121
106,203,95,169,79,45,92,126
102,169,87,160,76,46,96,106
111,184,94,164,77,49,102,137
96,157,100,166,82,52,104,156
96,158,90,143,79,54,106,160
97,154,88,129,74,60,110,156
92,181,87,123,78,60,109,161
78,170,83,116,76,55,94,145
85,177,76,113,71,55,95,140
88,178,70,90,65,54,105,145
106,184,77,112,77,53,103,150
105,163,76,136,78,52,101,161
118,170,75,144,79,52,104,149
115,182,75,139,79,56,105,138
124,197,82,144,79,60,99,136
121,195,85,143,61,57,103,138
119,207,79,132,61,57,101,133
110,207,77,131,63,59,121,142
112,186,79,136,62,51,129,132
106,177,73,134,60,48,131,131
99,197,62,125,65,48,126,139
98,220,78,119,62,50,130,131
98,233,74,119,59,47,127,122
96,244,80,116,60,49,118,125
97,254,85,103,61,50,121,146
96,236,87,89,61,48,121,136
100,215,76,86,61,42,116,131
93,201,80,95,66,42,95,133
102,213,83,95,69,41,96,164
94,213,84,119,69,37,93,154
90,212,83,131,82,40,102,168
102,201,84,141,84,41,106,172
105,222,87,156,86,41,106,179
96,202,78,165,90,50,100,160
112,179,73,150,92,53,100,172
118,242,83,139,75,54,96,159
104,248,80,142,72,56,95,151
104,235,73,119,73,59,100,154
114,250,71,118,71,54,92,147
98,245,78,129,71,49,80,125
94,227,74,134,73,49,101,137
98,225,70,122,79,50,102,140
112,234,72,115,75,49,101,131
103,217,76,111,71,44,104,126
102,228,85,109,73,47,113,123
97,190,86,109,75,45,100,131
107,182,90,108,67,42,100,138
98,168,90,112,65,37,114,138
101,171,90,104,65,39,119,129
106,178,70,100,57,37,114,126
114,236,61,87,51,41,118,113
113,243,53,82,51,62,157,119
104,231,51,84,56,64,159,131
96,242,64,97,51,66,156,134
96,236,76,104,54,67,160,144
86,170,76,109,52,67,168,136
78,156,80,112,56,57,151,133
85,176,99,150,62,57,139,120
92,216,93,145,67,55,141,137
95,223,88,133,65,54,144,138
103,233,89,164,71,51,133,138
99,238,87,183,81,45,111,129
93,229,66,157,73,40,102,130
121,259,71,158,72,40,94,125
122,267,73,161,72,37,88,118
122,275,79,128,68,36,88,120
146,282,88,97,52,36,90,119
151,279,91,117,61,38,88,110
127,206,82,112,58,37,89,106
124,181,78,114,67,40,83,119
118,161,79,126,69,47,103,111
88,150,74,129,68,44,105,110
92,170,90,121,71,46,116,109
88,196,95,134,72,46,117,96
89,211,93,129,61,45,130,110
111,214,88,119,58,38,109,120
122,232,86,133,67,39,101,125
120,228,75,126,68,42,91,130
125,222,74,112,67,41,86,132
125,216,78,114,67,45,85,152
108,221,89,110,67,42,87,148
107,224,90,104,58,41,92,142
101,223,82,94,43,36,89,135
107,222,82,97,50,37,88,132
106,214,88,103,53,35,67,120
114,211,83,101,53,43,63,119
105,197,80,127,81,47,74,129
107,210,81,134,92,51,74,130
113,193,89,128,90,50,75,130
114,217,80,136,92,50,84,103
116,220,87,166,97,46,94,117
118,211,89,138,75,43,82,105
120,211,91,144,63,35,83,108
106,210,82,158,65,38,84,111
110,186,84,149,65,34,80,99
103,178,71,118,58,33,76,104
96,171,78,134,60,37,77,104
93,150,92,138,60,41,81,106
108,180,90,126,61,42,81,134
115,179,87,124,58,45,92,133
125,172,86,123,57,44,96,122
128,189,88,105,62,41,101,130
127,214,84,89,77,40,98,126
108,189,88,90,78,40,99,99
91,194,91,87,74,36,103,113
91,232,92,83,74,38,97,112
96,221,82,79,67,39,94,127
112,227,72,87,60,37,95,136
117,239,70,95,62,40,97,146
134,244,69,110,65,39,76,136
