Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
536,482,564,251,84,76,353,612
553,436,635,269,79,67,370,646
535,444,732,343,101,81,594,835
540,457,789,351,106,85,637,889
522,466,737,359,116,102,706,995
587,511,735,343,118,112,755,1141
567,551,676,354,127,114,745,1119
613,591,792,338,125,119,623,1049
641,636,832,419,140,121,591,1088
682,625,915,407,131,105,539,1120
603,626,934,443,140,103,449,927
613,621,986,421,127,105,483,975
780,592,866,431,142,159,543,1045
811,576,810,377,136,169,546,992
817,579,704,377,144,175,526,904
882,558,693,345,137,173,527,916
895,542,616,345,138,178,528,981
776,579,673,321,134,142,446,894
846,546,632,371,150,161,490,981
886,536,625,386,147,159,468,920
820,519,653,378,144,157,467,907
821,603,764,439,164,183,576,972
786,571,788,517,208,191,614,1055
683,561,898,486,193,170,624,1026
570,585,987,502,195,167,752,1173
573,617,1004,515,201,182,877,1281
590,592,1056,503,201,174,855,1290
568,546,1023,430,154,154,839,1247
604,551,993,461,186,160,834,1291
650,669,1178,586,221,165,775,1280
674,702,1246,641,247,173,805,1287
630,790,1265,778,279,196,879,1267
712,881,1301,782,279,201,918,1333
647,878,1291,795,268,192,966,1343
759,828,1136,695,238,193,1000,1397
760,831,1110,664,219,181,879,1272
761,746,1074,539,198,145,858,1211
772,708,1048,521,186,151,937,1203
901,743,1121,594,223,172,879,1105
865,717,1062,599,224,166,800,896
888,733,991,591,225,159,818,1007
1036,743,932,646,237,162,683,980
1021,687,880,662,250,151,452,816
953,693,784,650,255,152,398,767
1044,766,799,655,257,157,396,778
1029,711,757,660,253,160,371,733
1038,633,635,583,222,149,393,738
1076,711,751,602,213,138,377,720
1132,705,688,493,160,134,396,726
1100,650,613,472,155,134,396,857
1171,653,605,437,141,130,319,786
1076,760,623,488,171,134,283,721
1003,718,512,434,170,141,310,752
983,712,478,419,161,129,292,792
1111,662,463,493,187,146,309,691
1141,664,501,577,220,159,318,681
1173,591,491,497,189,153,338,784
1257,603,390,535,227,180,370,802
1230,543,382,543,232,176,363,770
1077,646,394,528,221,182,428,817
1067,656,363,444,192,179,443,786
1045,634,347,422,186,171,429,744
999,629,298,505,153,153,398,719
1045,636,300,493,149,150,398,735
1024,543,298,429,130,130,305,664
911,523,298,417,124,117,279,681
875,551,313,424,130,126,259,590
856,501,341,339,121,125,274,561
760,487,347,369,121,131,303,546
812,532,359,376,123,152,368,579
916,524,341,391,130,161,374,601
994,538,356,378,122,157,401,651
1025,520,356,391,145,152,395,687
1148,548,357,386,144,148,376,651
1121,536,398,411,146,125,343,639
1051,541,416,397,144,107,335,633
1018,498,388,400,147,108,315,616
1007,519,364,335,124,116,320,586
897,485,402,303,127,119,322,613
929,436,335,255,117,107,266,568
924,389,298,231,106,104,259,524
906,365,314,293,107,106,255,472
848,441,345,298,100,95,254,524
863,499,321,309,92,101,281,545
758,485,310,302,94,101,307,545
751,500,327,323,108,103,320,588
710,481,330,277,105,100,330,611
785,377,300,246,93,86,313,560
802,341,273,258,96,74,315,556
927,364,300,275,106,80,310,583
954,387,325,269,106,83,292,569
962,406,294,269,103,85,268,555
913,426,284,266,103,89,258,545
887,401,270,239,95,88,232,565
1029,516,287,349,110,108,217,529
1044,517,246,354,102,107,213,500
1089,576,260,386,106,105,227,542
1124,571,270,400,112,103,225,527
1095,586,310,447,127,107,200,456
883,507,277,380,109,85,179,421
984,475,287,438,125,86,178,396
934,401,299,435,137,89,158,310
840,390,283,417,127,91,140,330
895,359,261,376,115,82,175,382
858,326,253,361,116,82,185,398
635,338,268,292,98,81,194,392
651,319,228,273,79,74,206,418
665,411,233,295,89,65,212,409
606,457,236,355,100,68,196,385
633,493,269,378,112,76,224,409
708,503,247,383,119,81,244,482
732,533,263,435,135,94,240,465
813,488,271,421,133,97,242,465
806,432,245,362,122,96,226,440
810,403,216,331,112,94,198,399
851,439,276,320,118,92,171,328
772,471,296,247,100,89,208,377
841,499,288,266,104,92,230,463
878,535,303,312,117,103,254,504
904,551,309,314,116,105,254,507
942,500,240,326,108,111,257,500
1146,490,255,433,115,139,343,721
1102,513,304,514,127,158,408,726
1206,569,369,569,163,172,414,766
1208,547,381,579,171,186,448,810
1163,565,447,585,186,197,454,867
1035,586,525,546,194,178,386,723
1003,573,582,491,215,171,302,689
850,593,615,458,199,156,280,648
931,664,640,480,198,140,279,741
977,685,601,464,185,127,298,752
999,700,534,475,196,144,303,733
1006,665,469,456,172,146,336,746
1087,608,367,398,155,146,363,770
988,543,323,377,153,147,332,629
937,541,355,406,158,143,306,552
859,466,326,336,132,122,333,593
939,508,285,321,124,122,344,658
915,520,308,444,145,118,310,606
918,535,310,473,143,116,313,634
913,538,268,451,149,142,390,716
904,562,259,439,148,147,371,680
805,530,306,449,152,133,343,624
807,519,290,359,136,139,366,638
846,557,274,304,135,140,370,631
858,582,312,315,128,128,329,669
833,552,324,319,122,126,312,645
868,592,365,335,120,132,343,641
763,623,362,298,117,126,335,629
876,652,401,342,119,136,370,689
864,627,390,373,123,125,335,574
906,672,393,386,132,138,342,587
866,736,472,456,162,147,307,542
935,691,468,491,162,145,310,552
859,644,465,561,201,150,299,499
843,624,448,550,198,151,335,477
837,603,469,545,195,137,317,444
860,492,366,477,172,126,320,478
815,527,389,499,188,143,336,564
723,488,346,376,138,120,299,542
780,555,386,349,131,118,263,587
739,521,348,367,144,124,291,597
697,492,289,351,137,118,289,580
668,481,262,272,106,99,257,502
676,480,296,283,108,98,242,467
588,417,254,299,110,89,223,390
683,409,262,363,123,89,228,402
747,418,329,413,149,103,245,435
763,408,349,429,153,102,261,417
827,392,323,509,176,120,278,455
831,369,345,494,171,125,313,511
825,422,351,432,148,122,289,496
879,514,325,420,132,114,286,451
844,536,286,410,132,111,269,505
815,536,281,290,111,98,248,474
829,532,261,317,118,87,241,445
809,501,255,313,117,93,288,513
691,407,214,261,107,98,295,516
728,337,241,274,108,99,287,447
698,345,261,291,102,98,314,456
704,346,248,286,104,100,283,443
673,377,246,309,114,89,255,381
722,385,261,299,110,86,267,475
707,438,264,259,103,87,266,467
753,441,261,255,99,91,266,500
738,508,252,227,94,94,278,494
741,507,265,221,84,100,257,481
737,502,259,262,84,91,203,389
754,476,250,355,99,91,205,407
761,493,249,353,97,86,178,437
827,412,279,349,102,86,181,459
861,380,262,359,110,81,200,467
851,385,277,332,117,85,202,458
935,454,285,357,145,94,211,454
867,421,285,350,145,95,216,423
858,474,256,380,142,92,199,417
812,486,282,386,137,94,185,392
799,494,277,424,145,94,187,386
781,447,304,402,142,96,182,390
873,494,312,470,141,98,206,423
847,463,337,475,147,129,231,407
932,489,361,552,191,128,242,473
904,555,349,528,184,129,295,593
845,542,314,514,170,141,299,615
750,535,365,538,186,144,307,662
765,607,488,662,201,127,298,677
728,587,497,596,175,130,287,650
743,521,507,623,185,138,243,568
694,525,519,618,191,120,242,525
711,507,483,600,210,115,211,414
608,443,365,542,211,109,224,438
663,432,307,528,200,106,251,456
633,427,297,512,204,108,292,512
654,430,314,550,208,111,300,563
681,439,319,492,177,116,302,600
753,414,283,398,164,129,351,662
683,450,389,401,158,133,355,663
711,534,391,400,139,125,316,617
854,538,389,443,117,146,397,693
853,526,378,463,110,145,409,696
935,536,377,450,94,131,353,605
916,594,333,529,112,126,328,571
980,591,415,530,130,131,332,593
975,606,393,461,126,124,239,515
945,621,383,443,132,124,210,471
905,676,427,485,156,130,204,459
896,632,401,444,166,142,229,476
837,573,343,436,157,144,247,442
743,596,458,438,161,127,235,402
761,580,475,454,156,122,229,386
732,504,444,416,132,113,243,401
745,497,470,399,114,108,239,408
728,529,466,418,118,104,232,411
666,483,352,401,111,100,235,409
731,537,428,483,124,99,234,418
705,570,422,478,125,117,264,469
724,563,383,441,115,105,281,481
729,553,367,406,105,93,259,459
812,542,368,459,117,104,251,444
720,474,239,374,120,102,253,424
655,474,257,363,112,92,213,384
687,513,263,440,118,107,198,402
697,492,272,444,121,120,214,437
640,487,272,365,105,116,208,425
716,540,299,377,113,120,212,441
813,518,326,427,143,114,223,482
736,464,312,356,143,102,208,437
730,451,300,360,142,86,184,399
725,530,292,357,144,79,176,405
656,495,289,322,122,81,166,430
685,483,284,333,100,91,215,409
808,514,287,335,92,98,218,413
820,546,275,329,94,108,239,446
878,521,295,397,108,113,260,464
891,532,289,418,131,120,298,482
856,536,261,389,128,117,267,450
834,562,265,393,130,116,272,495
914,537,271,488,152,118,262,486
884,559,316,496,149,117,270,473
938,555,319,474,134,110,233,437
910,575,312,487,144,111,219,470
869,543,315,509,156,116,244,462
791,552,325,434,139,106,245,478
774,489,264,355,127,103,219,472
773,466,240,374,122,106,228,463
858,418,271,415,110,103,250,461
898,459,325,416,106,129,339,631
998,446,313,404,96,132,340,622
1070,497,321,422,102,134,344,631
1047,511,326,468,118,135,339,644
969,564,316,421,117,141,342,665
967,534,253,437,132,121,246,479
849,554,256,461,148,122,238,474
774,529,235,462,155,122,233,461
775,518,236,399,144,117,248,451
774,479,229,403,154,125,227,388
788,483,253,421,145,124,210,435
787,491,267,418,149,141,269,511
743,462,276,493,176,153,260,525
805,499,291,507,181,154,241,508
819,507,285,484,180,146,257,511
831,516,264,441,181,155,266,476
841,567,318,509,179,145,209,404
856,562,316,441,150,129,213,413
762,534,325,446,150,127,212,417
717,534,343,461,142,123,174,387
699,545,352,448,137,103,165,378
683,507,299,380,128,100,204,400
678,563,360,401,120,103,222,382
767,576,385,403,122,111,222,376
754,557,361,428,126,115,245,437
679,548,390,414,115,110,231,440
699,519,411,368,101,108,207,424
683,530,378,365,101,110,214,438
633,537,347,376,111,106,213,448
621,541,350,339,101,94,211,471
679,519,378,371,112,120,238,508
680,485,340,392,124,121,268,531
723,428,333,373,131,121,248,523
788,409,329,356,118,130,288,585
921,427,348,402,134,134,273,533
867,418,272,391,136,122,284,557
829,450,313,426,138,119,251,521
802,446,323,403,136,115,259,516
723,445,329,382,135,101,216,446
647,450,330,348,126,106,254,552
683,430,337,378,118,92,216,489
720,430,312,356,120,93,215,484
710,422,295,376,114,96,220,563
786,443,288,380,111,97,239,595
767,504,290,392,109,90,217,492
785,497,274,359,113,106,233,569
829,502,273,322,102,118,299,699
862,486,272,320,115,126,341,700
793,456,269,380,127,123,346,705
746,350,254,352,123,124,346,716
699,375,250,340,117,118,337,679
831,387,241,342,111,105,314,662
821,416,236,489,127,94,263,602
799,400,262,533,130,101,234,576
897,448,276,546,138,108,233,567
983,438,271,552,138,101,230,577
903,427,322,587,163,123,221,540
895,400,351,489,154,126,221,527
989,427,317,382,145,127,251,538
904,397,317,450,160,122,257,554
810,429,364,461,183,125,297,533
736,431,323,450,187,103,272,463
730,440,355,426,219,108,267,499
743,474,392,473,244,120,253,500
730,493,401,390,239,114,243,495
722,515,382,389,223,113,218,481
807,559,392,365,204,115,225,495
853,605,356,375,159,112,259,545
805,576,323,347,141,99,257,526
884,558,349,411,145,105,251,522
939,521,356,402,142,104,227,548
908,480,344,423,144,109,230,557
956,568,334,486,150,107,211,472
886,563,343,486,124,105,210,450
810,545,286,429,97,96,213,433
805,538,261,413,101,97,222,383
781,515,312,441,107,89,224,342
707,349,321,355,103,81,204,337
771,390,308,396,111,86,238,384
809,407,305,410,119,97,257,426
807,434,299,434,127,105,249,441
806,422,249,388,129,122,266,433
865,469,256,424,136,130,292,486
806,416,261,366,127,125,263,456
847,428,256,342,127,128,257,509
785,376,249,341,126,121,261,538
827,373,236,353,120,106,242,531
740,407,266,322,130,102,217,512
801,441,285,434,153,99,227,575
818,442,280,460,162,106,218,503
811,477,284,460,169,121,209,442
723,496,298,434,164,131,228,450
687,452,311,445,149,126,231,427
758,460,317,412,126,131,222,336
758,462,324,411,112,118,213,357
811,504,327,400,136,162,270,523
803,523,314,501,144,159,245,531
915,545,300,525,174,170,268,599
857,576,268,473,178,168,280,621
785,557,262,467,182,168,282,601
755,488,256,459,152,115,236,478
754,492,266,346,143,106,240,476
631,439,207,284,107,85,225,402
607,390,218,327,137,96,221,417
632,440,235,334,134,95,220,423
