Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
436,227,210,65,69,157,226,246
442,239,222,73,74,174,235,251
467,268,220,75,77,176,241,255
484,280,177,72,71,151,227,266
461,260,145,67,67,151,218,288
463,261,147,70,67,143,208,289
434,293,145,71,69,148,199,292
445,293,161,71,71,172,206,311
444,277,202,78,72,168,171,285
416,283,232,82,74,177,182,259
416,304,231,82,75,189,196,278
478,336,232,75,69,175,233,308
466,328,231,76,64,155,227,295
451,318,205,69,61,152,252,298
438,334,193,73,59,137,245,292
428,330,194,78,63,128,267,310
421,258,180,76,63,144,267,331
404,250,180,83,67,161,297,317
427,261,193,88,71,160,283,329
426,283,187,84,73,160,275,325
436,260,197,78,71,166,245,295
475,284,202,82,74,157,254,289
482,287,192,76,71,133,227,290
438,288,189,80,73,129,216,280
464,242,217,93,77,126,228,289
475,287,205,92,73,107,260,297
428,303,234,101,77,103,229,282
462,336,251,103,78,104,205,309
472,334,251,102,80,102,209,320
456,369,240,92,78,144,238,338
439,337,252,95,86,168,239,331
413,316,230,91,86,188,258,321
373,307,215,92,84,191,267,309
363,337,228,91,81,190,277,319
345,295,224,89,78,166,242,342
337,291,217,94,78,144,214,323
290,323,202,86,77,126,180,318
327,296,200,84,79,129,178,323
350,256,165,74,78,135,166,295
372,286,185,74,80,151,180,247
386,354,215,77,78,151,180,264
462,318,239,83,73,140,173,272
427,318,236,83,72,146,196,273
444,350,256,92,74,145,214,317
468,341,235,96,74,127,221,312
452,288,212,86,67,124,209,320
399,305,221,92,71,124,222,354
459,339,220,92,72,113,212,362
444,311,201,86,68,113,204,332
446,308,194,86,67,101,211,335
463,299,212,97,73,104,219,320
489,286,185,92,75,112,216,300
460,240,191,87,72,118,199,279
451,229,194,85,72,119,187,280
417,250,209,83,69,121,182,286
414,256,182,67,61,118,195,291
428,255,169,56,48,115,193,256
425,288,179,63,54,124,195,249
441,360,190,93,76,146,212,256
439,334,181,95,76,151,208,272
418,332,176,102,82,159,193,281
360,337,178,107,84,155,211,283
372,331,177,105,82,150,210,326
357,263,167,86,67,122,206,341
355,316,166,85,69,114,204,324
359,311,161,76,61,109,209,324
359,295,160,70,59,110,179,325
334,319,160,74,61,117,186,284
382,310,159,66,56,111,173,277
386,279,145,61,53,114,162,280
434,289,190,62,56,112,162,297
470,292,213,68,67,149,212,288
500,246,208,67,61,139,214,282
479,332,223,73,66,146,227,264
480,324,222,71,64,145,224,246
477,319,194,76,65,144,217,200
426,322,178,80,67,124,207,224
406,357,182,81,74,151,228,228
443,298,168,77,70,153,216,218
435,305,192,85,76,161,223,241
414,321,198,84,79,178,252,276
430,332,193,76,67,171,233,275
401,349,202,85,70,146,225,272
324,358,199,89,74,137,223,286
366,355,180,87,70,127,214,272
397,382,171,86,67,103,204,260
424,381,177,94,74,106,234,261
415,332,172,84,73,124,221,263
457,364,205,84,68,120,216,269
478,369,205,80,73,136,231,369
450,340,202,76,72,152,226,384
447,340,199,71,64,138,181,374
472,382,193,71,56,117,172,376
452,343,150,65,58,127,181,372
491,344,158,65,55,147,183,312
508,374,178,76,57,136,178,298
473,366,177,75,63,143,183,284
451,319,193,81,62,143,186,290
474,316,189,83,64,164,227,283
426,332,183,81,61,143,239,302
395,305,193,85,62,137,227,276
412,348,193,84,58,133,232,301
442,366,170,77,57,148,239,311
396,362,183,82,57,121,203,308
400,362,184,86,66,134,216,310
435,353,168,77,66,145,237,327
438,310,167,79,65,143,228,311
418,293,169,80,68,140,220,326
466,304,157,75,63,160,235,379
433,343,175,84,68,149,220,338
386,331,185,81,67,139,193,334
394,337,202,77,69,144,203,367
425,341,201,83,71,137,222,365
364,331,196,79,71,123,221,342
370,259,184,77,63,110,188,333
426,255,173,84,60,107,196,332
422,256,153,83,59,101,193,291
403,246,153,75,53,109,188,302
406,268,174,90,66,116,182,257
378,281,165,78,67,126,200,284
326,344,168,77,72,131,203,280
371,338,169,81,74,133,195,278
356,346,172,84,74,144,227,269
385,348,172,78,68,128,220,279
396,354,170,77,63,119,203,251
398,287,158,74,58,118,202,254
363,300,158,71,59,130,216,260
367,305,174,81,65,111,175,261
349,307,167,77,61,111,166,282
376,294,163,79,63,114,164,283
374,306,154,73,60,117,162,278
371,292,154,76,59,150,235,329
361,270,142,67,56,171,254,292
355,245,137,63,59,169,256,286
312,260,139,62,56,169,262,286
316,282,178,64,60,168,279,297
303,289,187,61,57,136,221,270
290,316,180,69,71,151,205,298
289,303,181,72,70,156,198,277
322,268,196,77,69,156,190,278
415,276,184,81,73,157,197,315
437,304,163,81,77,166,201,330
477,323,168,79,68,128,204,312
483,367,173,83,74,125,210,313
465,397,167,79,74,141,218,319
445,381,157,79,71,142,194,293
487,367,166,80,69,125,188,272
515,384,182,79,69,131,168,294
549,364,186,70,60,124,161,302
561,344,190,80,68,116,161,301
557,351,178,80,74,124,167,295
511,351,176,83,72,125,157,290
458,310,167,76,69,122,165,271
449,311,163,78,71,127,167,260
454,336,162,71,68,126,186,258
425,332,163,66,61,113,207,250
417,335,192,69,63,108,204,233
447,334,193,77,63,114,212,252
439,324,188,75,66,154,243,299
420,318,182,76,68,162,232,304
398,333,189,77,67,180,239,322
417,311,160,68,65,184,238,325
418,309,154,62,66,190,228,315
416,310,148,63,68,177,221,290
474,301,163,66,66,169,224,297
459,276,156,64,64,144,194,264
430,288,156,63,64,147,203,264
456,284,156,69,65,133,212,267
432,270,159,75,65,114,201,251
405,255,134,69,62,123,199,252
428,265,143,70,66,131,191,266
499,256,138,74,70,132,199,269
474,266,152,77,69,131,199,250
484,264,167,78,66,127,185,235
463,283,183,79,68,120,199,247
464,269,177,79,68,121,221,279
465,280,196,77,65,136,232,324
435,273,194,79,64,133,219,323
441,306,188,76,66,136,233,337
444,284,176,73,64,125,217,314
492,313,174,72,59,131,194,287
451,299,184,80,63,111,182,243
465,312,184,79,58,117,179,236
453,300,174,77,55,127,205,223
490,297,170,77,54,131,199,246
431,264,171,76,56,154,223,256
420,262,150,69,53,152,207,240
418,274,145,65,57,157,217,250
417,291,153,66,55,149,181,253
360,330,167,66,62,160,200,242
356,324,171,69,62,125,200,229
380,335,167,69,62,130,206,221
388,301,150,68,63,122,200,253
390,323,189,70,61,122,199,253
422,280,188,74,65,120,190,241
415,288,191,76,68,126,161,243
394,284,197,78,68,125,162,251
362,318,207,79,68,120,167,213
350,262,160,79,71,119,184,231
325,278,152,73,60,106,194,263
346,285,139,70,58,102,193,250
348,302,155,78,61,94,196,242
376,290,174,72,55,107,195,285
397,318,175,71,56,110,175,267
373,340,183,73,57,110,156,236
392,331,192,75,59,107,156,237
394,316,168,59,53,121,167,262
494,321,143,63,60,143,178,290
494,290,143,57,60,157,193,327
507,274,130,56,62,161,203,330
494,315,125,57,60,160,201,336
545,324,125,60,61,148,198,325
457,300,133,54,56,118,181,288
443,307,135,67,66,140,227,327
484,331,149,72,65,140,226,328
465,293,153,70,67,143,232,321
464,308,193,69,67,143,233,320
477,326,178,66,65,145,231,300
498,370,194,71,60,118,205,303
515,326,193,74,63,115,215,301
519,334,207,80,65,120,229,316
