Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
282,234,496,131,62,193,685,466
348,282,601,174,87,267,736,571
365,315,677,189,94,273,706,627
381,300,693,192,93,239,684,616
389,321,644,174,92,242,663,605
406,360,786,196,98,288,632,696
394,378,753,171,92,278,687,704
456,370,787,178,103,296,707,664
450,381,818,185,103,308,751,675
452,405,904,194,107,332,775,764
451,401,809,206,110,302,760,718
456,504,874,239,121,279,777,721
481,534,866,258,116,269,809,783
484,571,871,254,114,248,801,781
486,551,809,257,109,215,820,775
492,530,832,250,104,216,847,786
480,385,720,208,80,194,801,719
462,339,740,194,91,249,809,712
454,284,684,194,93,253,860,746
501,292,654,178,91,250,836,681
495,322,656,175,97,249,816,658
490,351,668,194,101,245,844,675
465,386,626,202,92,189,883,686
483,435,688,231,100,186,796,695
448,429,707,256,109,180,870,685
447,438,731,258,107,172,878,705
443,436,744,242,100,191,785,741
432,449,736,235,98,174,878,727
444,392,703,226,99,198,871,658
434,491,698,210,93,252,838,668
427,479,662,215,89,267,827,638
501,457,725,238,91,269,831,699
560,415,696,219,79,272,894,770
524,445,832,238,82,358,1048,783
488,334,834,235,99,375,1116,768
490,327,877,218,99,392,1154,780
442,343,855,221,104,388,1262,671
336,363,870,250,118,401,1157,531
353,337,755,215,109,344,1097,490
349,312,775,205,92,336,1110,531
413,347,698,216,95,314,1124,553
388,346,694,198,94,336,1073,560
391,320,675,163,81,318,1114,591
396,328,656,190,88,288,1084,605
442,362,677,231,91,240,970,558
396,337,679,230,93,236,975,486
402,363,726,240,102,250,963,498
413,361,735,256,102,253,910,567
402,358,814,262,100,267,935,638
366,414,837,262,105,291,991,651
395,445,911,255,102,301,992,701
392,428,871,243,99,341,969,701
383,459,894,235,101,339,947,658
428,478,806,205,102,373,987,629
494,413,725,161,94,358,976,718
549,419,724,190,99,364,1017,704
594,454,803,201,98,308,1032,716
621,464,786,208,102,334,1059,767
662,506,834,226,124,397,1065,754
618,511,855,223,123,397,1131,669
619,475,831,216,137,462,1172,787
577,435,759,210,137,488,1245,852
571,410,856,235,138,497,1238,786
593,351,882,237,124,444,1224,814
652,332,913,246,135,471,1255,836
633,374,893,244,130,437,1149,772
627,406,913,267,138,405,1105,699
657,384,854,230,133,385,1091,703
563,336,789,207,122,359,1108,661
532,361,761,198,117,377,957,676
482,324,726,175,98,315,978,582
467,339,639,138,78,299,972,542
438,326,554,120,75,304,1039,655
460,357,587,126,78,300,998,636
392,368,579,123,62,200,1000,578
386,353,555,115,64,220,1021,609
442,418,561,124,78,244,1035,670
430,446,565,142,92,223,954,588
419,474,550,144,100,228,917,660
485,455,589,162,109,268,1027,877
501,487,711,184,113,344,1088,941
477,382,727,173,112,371,1045,924
435,360,735,170,115,444,1160,933
450,311,773,167,111,439,1188,958
396,319,751,204,109,422,1156,797
396,339,696,198,108,361,1107,753
408,373,771,216,114,342,1130,848
468,411,760,225,116,293,1079,884
509,406,881,238,125,406,1172,930
548,426,978,204,176,583,1212,940
684,404,1020,204,189,656,1294,1049
769,456,1047,217,234,771,1378,1018
840,463,1071,201,232,802,1412,1028
854,476,973,185,231,773,1346,981
887,500,900,219,219,764,1294,1066
824,497,878,221,215,717,1235,963
806,467,802,195,165,592,1308,927
786,496,793,206,171,580,1228,923
759,513,798,209,182,626,1301,946
741,512,748,182,165,508,1290,929
761,495,800,162,158,543,1356,990
796,517,833,168,161,547,1174,1059
791,452,835,158,157,500,1243,1075
802,424,790,185,140,419,1142,1001
776,359,783,163,122,384,1145,1006
715,371,651,170,122,317,1082,914
671,293,608,155,108,313,1081,834
705,300,624,157,106,307,1063,775
700,294,652,124,106,329,1082,821
727,316,724,127,113,404,1037,687
744,313,739,132,123,438,1044,800
692,306,721,133,121,445,997,780
654,317,701,125,109,434,946,764
661,385,687,119,105,416,1018,738
663,449,606,131,102,352,1079,829
667,441,597,119,87,291,1059,726
652,446,574,118,83,236,1102,749
586,422,522,112,85,239,1058,712
587,381,534,120,96,241,981,683
531,294,508,92,83,223,929,564
534,292,489,92,80,208,900,554
522,289,519,98,84,218,1013,531
500,303,531,103,82,221,1038,550
492,280,445,91,67,195,996,552
513,287,432,106,86,208,1028,586
453,274,407,104,83,200,999,592
470,283,372,100,80,212,914,648
479,268,409,91,79,204,976,813
401,242,417,85,78,177,957,810
356,226,419,76,57,167,923,804
403,227,421,78,61,180,941,837
411,204,379,74,58,154,902,781
366,200,329,76,53,137,782,608
364,193,318,76,49,132,749,602
341,156,339,80,52,152,757,576
284,128,334,78,46,157,704,565
252,137,368,80,48,161,626,602
282,196,440,91,56,240,659,637
406,256,467,102,63,249,755,759
473,314,500,107,71,286,819,871
497,392,593,125,109,406,923,922
650,403,570,131,118,429,977,982
701,440,643,140,128,446,1117,1126
729,468,737,168,135,481,1161,1171
824,469,793,177,152,521,1177,1124
848,457,880,172,144,494,1216,1106
742,470,930,173,139,479,1336,1087
767,445,870,185,153,476,1335,1044
767,409,837,177,157,444,1348,947
705,475,853,161,144,431,1341,943
708,441,742,154,133,401,1233,965
748,424,707,150,135,412,1104,927
710,467,718,143,118,373,1066,825
656,451,679,121,108,371,963,820
608,367,559,122,102,300,968,846
622,382,553,127,110,328,1066,919
612,423,611,153,117,338,1131,912
598,383,588,131,102,320,1006,910
611,374,562,130,99,315,1032,926
593,357,577,136,107,339,989,900
545,336,613,134,99,260,953,768
530,296,518,106,86,235,880,783
519,271,568,110,97,293,1002,710
507,296,615,114,99,291,981,676
521,310,615,103,85,250,945,652
486,338,537,99,79,256,950,671
503,332,574,101,79,249,946,698
470,319,488,97,72,199,934,717
426,321,447,91,63,195,1016,726
422,303,438,94,66,205,1108,779
501,279,444,99,84,272,1044,790
480,284,403,110,106,335,1092,839
492,308,430,109,104,325,1038,811
516,314,531,112,112,384,1047,815
534,316,577,115,122,405,1042,798
491,362,613,112,110,350,1013,730
479,375,695,106,99,341,1035,623
502,388,716,101,100,366,1046,700
514,381,650,98,91,309,934,728
481,381,592,90,79,278,829,700
488,331,557,86,82,296,912,727
485,369,544,93,74,241,807,770
479,359,540,95,71,203,759,832
536,364,559,107,71,223,911,797
574,374,640,112,71,289,1014,945
606,411,677,146,83,315,977,992
609,418,603,145,85,323,969,949
598,401,588,153,99,402,1068,900
587,423,598,152,103,397,987,952
593,458,626,170,130,465,960,876
563,419,581,142,122,455,959,887
624,414,600,133,119,447,1018,922
626,423,596,132,105,377,961,897
627,441,605,136,124,423,984,921
575,396,540,113,99,313,979,864
564,422,554,123,103,295,1008,877
508,398,559,119,104,295,1039,904
498,373,580,115,113,319,1059,941
424,312,517,101,90,265,1002,840
401,305,467,92,81,242,925,826
416,281,451,78,75,288,937,749
368,273,422,83,69,274,785,678
346,313,356,73,53,238,757,596
313,310,350,68,50,235,737,580
372,316,366,71,64,294,848,644
361,327,421,105,69,257,801,612
371,293,420,107,71,258,833,570
446,324,435,118,87,292,797,617
487,334,461,120,93,321,925,703
506,355,497,125,92,275,854,630
490,358,436,113,91,282,823,661
503,400,504,118,91,288,839,729
468,360,512,108,78,260,851,733
456,378,567,124,74,276,760,627
415,352,580,126,69,269,697,619
408,330,586,114,66,266,694,598
390,326,552,107,71,282,801,530
365,318,543,106,69,287,765,465
442,328,532,105,80,246,843,510
427,333,457,95,76,250,875,506
433,344,490,93,72,244,879,616
498,293,469,101,79,240,806,743
498,283,464,110,78,229,788,745
409,234,377,91,62,196,705,721
416,241,428,94,65,208,719,711
436,307,392,112,74,208,744,593
363,300,391,106,65,189,724,469
395,307,382,109,75,215,774,532
403,342,428,128,88,229,759,576
484,348,431,136,96,240,801,644
471,294,489,129,95,280,784,656
463,306,534,132,96,276,778,603
426,306,535,124,90,256,735,514
456,302,549,117,97,337,681,615
353,284,555,113,89,336,557,562
365,280,579,122,99,338,633,665
356,296,586,131,95,349,603,711
353,279,593,140,96,354,606,711
307,225,544,130,76,269,655,579
330,282,657,148,83,264,792,553
302,297,588,137,66,205,735,401
295,286,553,121,62,175,706,287
295,290,587,106,57,194,836,299
276,349,604,112,59,188,814,293
262,308,423,81,46,159,679,286
236,277,421,75,44,199,765,264
215,263,394,72,48,204,830,265
203,272,326,66,47,172,710,235
175,200,285,59,51,179,739,361
162,210,298,63,55,181,860,385
191,298,298,74,63,137,776,395
211,331,332,78,63,134,776,405
227,341,356,84,64,148,792,447
223,344,490,85,70,162,814,357
206,370,567,86,71,229,855,337
171,320,554,86,72,272,889,314
142,281,565,84,71,282,864,300
116,293,553,82,71,286,886,270
118,303,450,77,62,274,879,244
109,257,342,74,61,252,882,260
105,258,375,78,65,233,960,256
137,326,372,95,74,236,1040,269
142,313,405,93,73,236,1059,268
147,336,407,97,78,261,1099,308
138,352,436,101,75,233,1089,291
137,338,404,90,63,218,1139,313
121,301,352,87,62,207,1043,332
127,378,373,97,66,204,999,345
121,361,385,95,62,197,1001,350
118,340,385,84,62,207,1024,365
140,372,460,89,63,202,891,347
144,357,468,83,55,208,977,351
149,310,438,83,57,218,1005,341
160,301,471,95,65,221,974,366
179,370,475,109,69,212,923,384
236,377,425,114,69,206,927,421
230,380,480,115,66,210,921,409
231,365,465,109,59,197,1015,423
267,395,488,101,53,192,1024,424
269,348,455,88,50,181,996,399
280,302,466,79,60,249,1002,400
295,308,423,66,59,249,966,399
335,303,411,63,66,257,877,428
343,276,330,65,66,261,870,419
437,265,378,76,75,318,833,471
438,292,374,81,72,291,919,464
497,287,367,92,78,281,919,495
577,268,387,100,76,287,929,494
572,266,383,95,74,270,904,516
537,268,344,113,76,222,929,553
564,267,361,136,82,215,837,554
525,243,349,136,81,221,820,545
417,226,337,135,83,219,804,526
456,235,432,144,92,276,901,487
433,247,436,127,83,262,831,377
392,239,407,98,73,249,761,410
378,238,417,95,69,246,740,391
469,278,445,104,71,247,722,421
435,247,351,92,59,176,618,443
418,237,324,87,58,171,663,453
416,228,309,89,61,178,762,419
436,227,283,84,61,190,817,416
427,316,307,105,73,209,907,446
410,322,328,108,74,210,877,407
411,356,390,114,77,219,925,435
389,359,391,114,75,215,893,427
395,388,402,117,77,231,887,445
309,297,337,83,55,190,748,348
361,333,369,94,66,219,754,418
426,314,327,101,70,235,656,442
471,349,393,112,76,247,748,461
453,355,482,115,74,234,734,437
469,375,503,119,80,260,779,479
446,388,530,120,78,255,835,445
421,375,520,110,70,245,863,408
385,345,482,101,70,239,742,403
398,319,434,101,71,224,715,447
399,311,450,104,66,204,678,429
395,298,427,93,62,214,578,429
376,301,452,94,64,231,664,429
426,343,473,95,63,235,785,549
441,340,451,91,62,240,822,627
423,341,428,103,67,241,865,660
417,356,500,106,69,251,929,657
460,386,489,109,75,231,902,712
417,357,536,110,70,212,868,635
397,381,543,170,83,220,879,544
438,368,546,166,80,212,846,594
458,315,464,161,75,170,838,629
397,305,477,164,76,201,893,617
