Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
70,183,260,154,37,50,107,120
82,202,247,158,39,61,122,126
84,205,246,158,39,60,121,126
132,221,241,146,39,66,121,115
144,216,243,138,39,67,127,129
145,204,255,186,47,69,128,129
139,196,260,182,45,64,122,142
139,206,270,193,48,68,130,130
124,204,281,200,47,69,172,163
117,212,266,201,51,75,174,161
126,212,253,177,48,73,175,161
129,217,283,191,54,76,168,157
140,263,270,177,51,79,178,172
116,227,266,181,53,72,144,145
115,235,298,195,52,65,142,139
106,236,325,188,50,66,141,138
105,264,297,180,44,78,183,165
91,219,309,192,44,79,181,157
69,214,325,195,52,84,173,148
60,207,307,186,50,89,172,154
69,256,255,166,49,87,174,157
72,227,241,155,49,82,167,133
93,220,262,157,48,77,162,136
165,239,245,150,38,77,199,156
169,276,233,140,41,73,200,155
170,242,270,143,45,77,204,153
171,233,307,165,48,62,172,144
161,244,303,174,49,66,173,152
93,223,319,165,48,61,148,139
91,213,344,162,46,60,149,139
83,209,332,192,44,59,149,160
76,212,312,176,46,63,164,162
115,206,287,151,44,61,186,185
168,208,263,164,48,70,194,193
169,154,235,164,49,74,193,193
176,211,295,154,48,73,187,179
178,209,317,162,47,71,175,177
154,203,321,163,47,70,186,206
91,202,313,145,44,64,169,196
84,219,337,167,45,63,168,191
66,224,315,167,46,63,166,186
61,229,301,156,44,62,165,183
70,230,317,164,47,72,152,113
111,233,323,167,47,71,163,120
136,213,299,149,45,73,169,124
138,206,248,112,40,82,187,128
143,207,273,153,45,84,186,121
139,217,260,155,45,76,178,120
109,212,258,157,45,75,157,108
87,254,266,159,48,72,164,125
88,219,289,174,51,64,149,136
80,217,253,139,45,60,157,163
78,200,282,141,47,53,135,152
75,203,283,137,47,48,141,157
66,169,293,132,44,45,136,147
66,204,297,117,45,47,145,146
65,206,300,126,49,55,145,125
65,209,287,125,48,59,153,124
170,207,301,131,50,60,148,119
174,249,297,131,52,61,144,119
180,204,281,143,48,54,132,116
181,211,286,150,45,47,122,113
184,220,290,171,46,45,124,135
100,217,320,188,46,44,129,141
98,207,330,207,52,52,123,130
85,207,362,211,54,55,123,133
85,211,363,216,62,57,127,138
87,216,346,193,60,63,119,130
83,263,356,197,60,66,117,125
73,255,341,183,50,59,112,133
75,261,325,172,52,61,129,137
70,250,339,165,44,64,144,132
158,235,352,180,46,53,139,127
178,232,303,168,46,53,151,146
181,200,286,164,50,53,152,144
183,190,260,180,53,49,137,129
188,192,264,178,53,53,183,163
120,236,241,158,51,57,198,176
85,197,300,153,53,63,235,182
77,203,338,152,54,64,238,186
77,210,415,147,54,64,243,190
66,245,385,144,55,63,205,165
58,214,389,153,54,60,189,157
89,208,352,139,49,51,131,156
141,202,356,163,52,50,124,158
140,199,286,147,46,52,128,163
141,149,316,152,41,45,117,163
145,205,311,146,41,64,157,175
132,206,338,165,48,73,197,182
77,202,294,140,42,76,206,177
69,208,318,168,41,73,196,167
66,215,320,162,41,72,195,161
59,194,330,174,46,59,172,152
63,226,308,160,43,56,150,123
59,225,338,174,46,60,143,123
63,226,359,153,48,61,146,123
60,213,337,150,49,62,153,133
67,262,328,136,47,66,153,125
57,237,311,143,46,64,135,132
58,240,274,124,44,58,135,133
67,236,196,122,45,58,134,133
68,244,313,129,47,64,130,124
61,158,325,134,46,61,143,168
65,143,331,125,44,55,132,160
73,207,337,129,44,64,138,157
60,201,332,138,40,65,137,156
59,200,236,129,40,59,139,155
56,197,226,133,37,61,151,153
61,205,224,149,40,62,154,148
