Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
51,219,330,70,33,36,26,41
56,217,334,70,33,41,27,40
61,196,376,93,37,40,28,41
66,186,369,93,37,43,30,43
75,185,368,97,37,50,30,48
72,188,354,102,37,53,34,53
71,186,360,106,39,49,32,55
70,212,362,101,43,50,33,56
74,228,387,103,44,51,36,56
68,244,383,97,45,46,37,54
73,252,370,95,50,47,36,77
78,263,394,98,51,57,46,84
78,249,439,89,51,75,77,117
79,250,424,96,54,80,83,120
89,302,475,111,59,80,94,150
101,340,567,128,60,87,110,164
100,371,571,137,65,85,117,190
120,409,533,137,70,80,111,188
119,409,549,137,74,77,112,199
124,401,504,126,71,81,109,193
132,412,467,136,97,85,105,203
229,460,499,137,163,88,99,184
253,544,471,136,183,101,131,257
265,598,446,130,184,104,167,311
277,636,457,138,184,109,178,318
276,651,413,122,187,107,185,318
218,653,414,131,155,116,201,331
198,647,473,135,156,127,182,271
204,613,504,137,156,131,170,220
192,671,491,129,162,136,160,213
195,678,489,114,149,136,155,201
188,650,440,93,140,147,149,194
195,601,504,109,108,134,154,201
175,634,481,112,107,143,152,200
190,555,492,121,102,141,168,236
199,529,460,121,129,150,164,226
200,545,468,120,119,141,159,239
194,515,457,117,125,143,158,241
210,518,467,116,122,131,136,224
192,580,448,108,127,128,119,168
200,604,480,113,99,112,122,175
230,635,542,127,110,113,115,142
227,653,442,116,105,102,98,130
213,624,500,128,112,116,99,137
233,568,510,132,110,127,94,145
237,612,493,125,104,151,94,162
227,622,438,108,98,146,104,177
218,665,437,108,108,149,116,184
224,674,366,101,106,145,114,185
207,665,434,126,98,135,113,179
212,665,416,125,97,131,116,162
196,644,423,131,93,129,102,140
204,611,427,131,75,129,90,134
197,600,433,121,103,124,91,144
236,616,341,90,133,135,92,142
232,579,348,94,153,131,88,140
231,596,335,99,152,132,90,140
234,601,375,97,153,129,93,130
268,685,371,103,144,129,93,139
244,662,380,101,141,119,96,143
239,682,417,105,137,100,91,153
239,701,380,96,144,101,87,144
242,694,343,93,153,110,100,154
242,682,332,94,154,115,109,136
246,735,344,104,146,124,121,134
247,746,370,104,141,125,121,133
258,674,384,97,136,121,125,141
258,713,369,97,125,119,119,131
241,684,374,95,131,124,132,143
248,652,389,102,128,119,127,139
261,631,329,99,116,153,136,120
254,652,315,100,112,164,134,128
247,692,306,96,113,168,155,182
233,677,317,105,96,163,134,170
209,672,333,95,99,190,138,170
182,632,320,96,99,162,124,175
183,640,381,99,104,151,122,162
196,565,454,103,108,145,91,101
212,609,427,87,103,140,105,122
239,675,462,124,123,113,99,159
256,768,508,152,147,142,112,166
263,842,511,157,158,182,122,169
265,866,484,169,166,188,119,173
256,844,494,183,181,191,109,174
268,900,442,162,168,199,102,152
243,848,397,142,166,188,103,158
251,827,467,152,225,176,90,179
250,810,479,142,229,174,100,174
251,814,508,129,218,182,99,158
240,697,504,128,212,201,111,159
273,700,590,136,211,215,99,154
278,631,523,118,154,216,129,162
284,629,545,152,188,222,120,161
296,640,594,178,231,229,130,168
277,621,608,181,252,207,138,179
252,666,529,176,252,201,158,191
276,684,497,183,248,181,137,166
317,707,450,161,218,178,146,179
307,673,423,134,172,188,143,172
357,723,442,138,136,175,125,148
358,640,435,133,135,172,114,128
342,623,482,134,116,174,116,149
292,587,544,139,115,182,133,180
312,589,541,137,122,190,141,180
251,572,508,125,125,189,149,188
248,589,556,132,108,189,142,184
232,666,534,115,117,212,147,185
235,725,529,120,116,203,137,197
226,744,487,122,127,184,138,224
237,729,508,128,135,197,142,227
237,736,491,120,144,200,143,231
237,677,493,121,178,195,138,230
233,659,460,116,193,202,134,184
203,676,451,114,181,198,120,158
191,650,441,114,189,192,122,191
176,686,421,124,185,188,147,227
194,713,433,127,147,214,149,215
194,650,416,111,183,208,147,226
229,702,409,106,221,203,150,221
287,721,401,108,210,215,141,195
298,653,384,97,208,227,112,164
284,606,390,102,212,190,106,163
288,645,370,105,190,199,106,167
269,545,356,116,187,221,104,180
227,554,352,107,199,213,135,201
228,638,363,120,199,213,142,194
217,711,369,120,198,224,151,201
238,729,376,120,194,226,152,200
242,726,383,112,164,201,146,187
240,711,378,115,156,207,124,171
247,698,402,113,172,201,117,165
253,619,388,117,179,199,136,158
239,592,358,123,216,185,138,155
253,600,402,127,233,214,145,160
244,593,404,122,256,217,135,147
227,542,374,115,273,203,149,151
225,566,369,110,286,236,125,141
223,642,368,101,247,239,121,121
206,614,354,97,233,221,135,137
190,626,335,105,212,220,139,124
191,634,351,105,181,245,144,150
197,608,334,100,187,202,142,164
193,556,459,108,211,211,145,173
201,592,458,110,219,220,131,165
213,610,505,106,205,212,137,178
219,620,526,111,223,193,122,159
214,656,548,116,213,191,120,155
204,633,483,118,194,184,113,147
185,618,525,125,184,180,110,144
181,622,485,123,206,176,106,131
165,602,449,108,219,175,103,145
150,532,449,106,201,171,110,156
179,529,500,97,193,169,113,160
177,537,443,83,199,168,108,164
169,466,446,85,206,183,102,166
184,442,464,90,180,180,102,155
197,512,437,95,221,187,95,139
175,496,350,93,252,199,96,149
186,526,328,98,261,201,107,163
198,531,341,101,243,191,111,160
197,549,309,101,276,183,106,168
196,536,295,88,251,198,123,186
193,523,291,99,261,207,120,182
179,510,469,141,266,213,127,188
212,526,471,145,283,214,142,228
230,503,490,147,251,223,145,235
238,507,523,154,242,215,133,219
248,510,607,162,197,199,134,212
248,496,497,121,159,206,131,195
209,470,495,112,126,214,117,149
198,485,486,108,109,206,119,111
181,499,459,103,95,197,115,138
173,546,384,87,125,206,119,144
175,587,400,90,139,184,113,178
186,597,440,92,140,186,128,200
170,620,477,98,157,189,123,206
173,609,473,103,168,201,130,208
173,634,431,94,156,201,142,207
169,582,425,94,192,207,140,177
169,595,412,104,272,220,124,167
167,561,404,112,267,213,129,169
176,565,527,125,263,210,133,159
170,491,525,126,257,198,122,164
170,454,528,122,226,199,128,170
163,502,532,124,109,162,123,146
179,552,527,124,89,186,142,207
175,555,425,108,89,175,147,218
178,573,442,112,94,195,151,223
201,586,437,111,99,195,153,216
230,553,442,100,101,195,156,217
226,508,419,95,108,207,150,151
225,531,404,98,117,212,141,123
221,489,427,93,110,189,140,133
209,538,504,107,99,240,141,134
226,567,475,110,95,254,144,146
220,596,517,114,89,243,139,144
208,512,506,105,74,257,137,146
215,533,496,108,73,264,163,185
212,540,480,112,106,205,161,190
164,496,509,113,108,210,167,186
163,471,462,105,105,196,156,196
170,482,521,108,106,174,155,200
170,492,542,107,110,203,126,151
179,442,497,98,80,209,117,160
171,422,451,88,87,203,114,179
176,418,453,85,89,208,120,173
177,441,395,86,89,233,119,164
169,454,338,87,92,199,114,156
149,492,335,89,103,206,114,137
152,554,438,105,132,208,101,126
155,607,418,107,148,209,100,126
146,630,416,109,156,187,94,125
202,637,449,120,159,192,92,125
234,666,433,118,178,190,89,127
240,625,354,124,163,175,96,117
234,568,360,127,160,169,89,115
258,633,343,128,163,183,109,142
226,616,276,125,166,182,107,145
187,534,392,131,145,180,109,147
178,530,474,132,143,196,105,142
177,560,478,131,139,198,102,134
174,504,501,136,127,178,81,96
160,527,525,132,135,191,93,112
165,549,460,123,129,206,100,114
173,600,382,113,126,201,103,123
196,609,381,110,130,217,125,136
185,608,353,98,142,257,135,155
199,587,350,98,144,254,126,142
219,644,331,98,150,270,131,136
212,577,326,85,154,276,139,145
201,550,392,104,161,289,148,150
187,516,389,106,169,251,137,134
174,500,412,103,153,250,141,130
146,444,406,101,156,233,138,143
138,467,401,106,158,228,134,118
134,452,347,94,168,186,107,106
165,545,371,95,161,205,112,105
171,565,341,92,164,197,111,111
179,531,388,94,158,167,110,119
188,590,427,102,159,162,139,152
186,598,439,98,136,163,152,146
150,514,436,95,137,147,154,152
160,489,415,93,130,164,161,154
157,511,458,100,123,188,163,139
156,492,444,111,110,178,131,123
163,551,418,107,100,178,119,131
162,529,452,109,82,178,114,125
142,532,585,128,96,202,110,124
134,511,538,128,140,188,118,119
131,450,506,112,140,212,132,110
111,420,524,112,138,227,134,106
125,440,502,111,137,219,137,128
128,420,357,94,128,195,134,119
129,430,379,106,94,192,151,169
130,434,399,113,117,189,138,179
153,398,397,124,125,175,135,180
166,449,386,129,124,176,147,168
163,444,425,129,127,165,140,181
165,441,403,122,114,179,107,139
163,446,424,121,132,165,121,142
140,443,412,111,135,165,121,147
113,414,469,114,135,169,100,143
111,406,447,110,128,169,105,127
104,383,432,102,133,148,100,134
98,380,450,105,93,165,94,118
88,363,472,115,82,172,105,104
97,345,410,112,82,167,108,112
90,344,412,125,89,159,117,125
93,351,392,119,78,169,123,126
92,343,391,117,87,154,119,140
95,353,393,113,81,141,105,139
86,322,424,113,77,142,106,138
89,329,447,117,126,147,107,132
92,314,499,127,139,141,106,121
99,335,463,124,136,137,109,156
115,332,466,128,210,153,112,163
120,332,434,124,210,159,105,160
123,310,378,110,188,147,93,161
116,306,330,99,190,150,93,175
116,291,318,98,188,142,86,126
93,262,281,90,110,148,94,125
82,291,291,84,118,139,99,123
78,299,297,76,116,190,107,125
102,302,371,90,106,188,105,116
93,295,393,100,136,186,108,140
97,302,402,108,150,171,105,137
94,255,409,115,203,196,110,133
98,260,494,164,472,211,111,143
92,253,470,296,827,503,114,142
111,268,452,369,1001,547,125,134
119,332,515,382,1068,593,133,129
126,352,512,384,1173,617,134,141
123,357,441,370,1189,641,127,124
113,358,421,300,1009,460,120,126
104,364,479,203,864,438,111,114
93,319,431,176,778,412,109,114
84,315,423,172,613,377,108,111
82,316,421,166,413,316,103,134
85,332,564,135,460,301,107,121
71,288,531,139,416,249,104,120
79,302,512,142,425,212,94,129
86,297,523,143,456,197,100,142
87,330,553,149,478,197,105,128
81,337,387,125,368,222,107,129
89,376,383,118,355,231,103,150
80,358,417,109,389,220,122,145
76,343,441,141,383,214,113,123
82,318,381,140,399,224,121,121
94,300,411,141,439,206,141,143
87,285,447,146,457,292,169,127
92,281,439,146,420,284,156,142
90,290,523,113,372,289,156,145
90,297,540,110,327,275,152,140
78,320,515,105,255,280,132,122
75,300,495,95,305,212,105,114
69,282,517,98,316,204,95,89
88,317,449,97,301,205,119,107
83,327,436,84,275,199,120,104
84,323,480,98,271,189,115,100
85,365,472,94,195,159,105,97
90,390,436,108,171,174,109,98
72,345,371,108,165,164,78,73
71,315,398,112,158,156,76,72
74,295,384,100,146,160,82,84
89,267,373,99,97,143,91,81
88,240,360,74,90,132,97,77
86,286,422,75,87,139,101,82
85,303,421,84,100,133,95,81
80,350,397,82,103,131,88,61
64,352,419,85,104,154,88,61
67,374,445,103,106,141,85,83
74,358,399,101,128,141,104,115
77,344,441,111,196,157,108,121
80,285,437,117,203,211,110,128
79,251,432,120,203,204,100,133
77,225,397,106,204,231,99,124
78,327,444,108,196,230,81,94
79,356,394,87,144,231,80,96
78,410,392,83,139,189,90,95
79,406,357,72,135,187,95,96
79,391,404,70,134,171,98,106
78,319,365,67,133,175,98,104
78,308,364,84,124,184,101,101
82,234,429,88,115,171,91,101
82,229,443,95,116,175,90,101
82,247,402,97,113,161,83,92
82,291,459,118,111,149,79,97
75,264,480,111,96,131,70,89
90,302,421,107,84,124,67,83
90,308,443,103,79,133,65,70
