Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
109,387,716,412,124,89,98,60
115,398,745,443,128,92,96,61
112,434,755,438,124,90,96,63
114,447,769,438,136,106,110,72
116,432,768,471,140,104,106,71
97,418,741,476,133,102,106,66
91,422,667,423,122,93,105,67
93,429,659,425,122,99,114,70
88,408,755,453,115,97,101,63
101,441,747,453,129,115,116,65
109,498,769,472,139,123,112,68
110,511,767,491,147,125,111,67
122,478,729,450,145,143,141,77
134,480,718,470,165,149,147,82
122,460,722,453,149,137,139,80
124,409,682,428,144,131,140,79
124,385,693,438,147,134,145,79
122,392,707,456,153,116,112,67
108,384,633,430,126,100,104,58
108,383,609,410,123,96,101,59
96,340,611,408,118,91,105,56
88,340,646,381,107,92,111,56
82,318,619,361,99,85,107,53
86,298,578,345,106,88,107,55
78,297,548,351,105,91,104,50
97,349,547,334,111,98,107,63
101,384,539,339,122,108,117,67
98,415,523,336,118,107,118,68
117,472,572,347,115,101,115,73
125,499,644,352,120,100,125,78
111,465,653,318,108,99,125,66
111,446,610,331,96,77,100,61
112,475,661,382,109,94,102,62
90,462,676,379,109,104,111,59
93,470,619,364,106,104,101,55
100,487,593,379,104,105,102,58
100,466,673,365,105,109,113,58
101,412,673,351,92,96,108,57
102,379,700,362,87,83,98,50
95,371,773,438,109,95,104,54
94,346,838,458,116,93,97,50
102,360,794,465,115,92,93,57
101,418,806,486,128,102,96,61
96,435,757,471,129,104,99,62
91,399,709,433,121,106,103,59
84,440,656,422,120,104,104,58
74,446,721,507,129,110,103,54
73,386,674,467,127,107,108,49
85,362,721,532,147,116,105,51
88,401,763,528,151,109,115,57
89,336,764,532,156,112,114,57
93,312,757,467,155,110,115,58
95,318,778,523,146,101,106,61
93,362,766,477,138,101,122,63
95,411,748,490,136,111,115,58
99,427,762,571,159,118,116,60
114,442,814,626,172,121,119,70
106,453,831,586,176,126,124,66
105,427,818,592,178,125,121,68
110,337,794,574,173,112,114,68
108,331,795,498,146,100,114,67
89,310,686,413,132,108,115,56
91,294,665,404,132,112,115,57
93,286,715,420,122,104,116,56
87,330,721,448,123,111,122,61
89,341,677,413,126,119,129,63
83,365,674,398,119,106,124,61
84,371,645,416,122,108,123,60
77,374,612,382,132,113,115,59
78,352,573,353,135,113,115,55
69,339,586,355,128,104,102,50
79,344,633,354,135,117,106,52
77,343,652,329,128,122,111,56
81,343,600,329,125,118,107,53
92,312,635,337,123,114,91,52
97,324,635,361,133,127,93,52
93,336,636,349,125,116,94,50
91,316,642,352,118,101,86,47
98,297,675,353,103,99,89,47
85,355,656,354,98,98,89,45
94,391,746,421,103,88,97,51
106,351,757,457,109,90,102,53
106,355,723,449,122,95,105,53
97,364,662,419,125,100,110,54
108,351,664,446,132,107,119,61
97,285,564,375,121,103,117,60
82,279,459,363,123,100,113,59
94,294,435,355,117,111,114,60
94,301,497,384,117,111,114,60
90,267,576,358,109,104,107,50
90,269,593,351,111,113,110,52
95,275,591,394,131,123,115,51
93,269,634,410,133,118,114,53
97,320,676,410,138,116,110,55
100,335,629,405,140,117,117,61
108,351,638,461,142,108,108,60
106,390,690,424,121,96,107,60
98,385,677,412,117,93,108,58
93,347,653,390,104,91,109,55
86,358,714,391,107,94,115,55
78,347,750,393,122,107,132,55
71,339,750,363,117,103,122,50
81,348,764,369,120,100,122,52
89,333,738,393,136,108,137,61
93,323,745,493,141,102,131,59
95,342,671,440,125,95,121,58
100,363,648,466,123,93,118,60
100,395,716,512,124,91,117,60
103,412,793,539,122,93,98,58
97,384,737,447,111,99,110,60
97,368,764,457,104,91,107,60
91,323,766,477,112,94,110,60
92,305,731,465,120,93,110,60
80,292,667,422,110,80,123,56
81,322,711,471,113,76,110,53
83,348,766,479,129,86,109,56
96,386,822,534,145,96,119,60
89,359,810,540,134,97,123,61
95,363,812,577,149,101,111,60
104,375,773,598,162,99,104,61
102,347,740,605,151,91,100,57
96,296,714,548,145,89,94,54
94,289,671,522,145,85,82,50
91,357,682,484,135,86,89,54
