Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
366,770,1230,694,354,296,197,184
391,839,1227,720,376,312,219,208
356,837,1181,635,330,296,187,176
357,867,1102,589,306,272,182,166
380,916,1091,612,287,272,172,166
411,918,1191,680,315,283,190,180
391,891,1191,715,310,294,176,164
403,1002,1111,730,340,299,198,183
412,972,1096,759,354,364,226,210
390,947,1075,726,348,350,219,202
353,951,1012,659,313,326,200,183
435,1052,1049,617,344,340,208,198
432,951,1176,680,320,334,189,187
447,996,1186,692,347,261,190,193
472,1015,1179,723,415,268,210,212
506,980,1180,727,459,324,226,228
455,937,1152,725,439,300,225,222
510,968,1118,744,483,318,260,254
494,930,1096,719,492,363,261,247
454,891,1058,712,467,368,254,234
403,939,1150,734,423,335,238,220
406,929,1260,755,425,369,244,217
335,940,1285,685,377,350,208,174
363,919,1321,715,357,312,191,158
382,953,1356,736,348,297,180,156
415,909,1248,705,345,290,198,169
383,804,1095,628,308,217,163,149
422,734,1048,614,338,249,176,175
401,759,1098,632,329,247,165,185
405,747,1056,590,324,241,168,196
414,743,1021,594,363,236,154,194
426,885,1119,647,392,251,169,201
417,919,1192,731,443,251,198,207
399,928,1051,632,422,240,193,182
452,963,1153,735,499,301,232,218
429,925,1270,731,474,297,232,210
456,793,1232,744,501,296,247,228
433,835,1159,640,441,281,220,207
450,806,1211,637,444,278,221,223
438,848,1136,493,335,228,177,183
451,881,1032,516,344,224,179,187
439,960,1091,507,306,234,161,177
456,994,1075,599,357,282,200,197
511,989,1120,655,408,329,241,226
484,887,1108,691,437,318,250,228
484,874,1058,743,477,337,271,244
459,891,1014,714,461,334,272,232
460,804,994,634,414,305,245,216
436,861,1041,689,399,292,227,190
433,877,1093,705,395,301,222,190
432,914,1099,639,362,307,216,181
452,819,1101,707,385,319,217,193
469,841,1202,741,390,298,217,198
449,777,1215,706,371,256,191,180
477,876,1217,705,377,260,207,197
