Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
89,95,156,43,25,30,70,104
107,97,150,44,27,34,73,107
110,95,158,43,26,32,62,92
111,64,154,41,26,31,58,93
115,71,159,39,25,31,60,67
89,140,151,38,29,31,57,70
67,147,161,44,31,29,56,71
65,149,169,42,31,29,54,70
71,159,167,44,33,33,63,78
65,164,162,46,33,32,56,86
87,134,160,47,33,36,64,81
92,126,146,42,31,41,79,97
111,126,114,44,33,41,81,98
113,132,119,45,33,39,76,90
119,132,128,43,36,39,79,88
101,110,121,42,34,38,77,82
97,115,134,44,33,30,65,65
75,116,168,46,37,38,66,67
98,109,169,45,35,39,69,76
94,108,161,47,33,41,67,81
98,139,177,47,34,41,69,96
99,143,168,46,35,43,68,93
99,152,170,47,29,39,69,96
90,149,166,47,33,43,67,98
95,145,165,45,32,40,65,94
95,145,203,55,33,40,77,85
100,154,209,56,36,38,78,98
100,153,240,65,40,37,73,106
94,168,244,65,38,37,72,103
86,174,265,72,45,41,75,107
88,161,239,71,48,43,72,106
93,158,261,74,47,49,82,112
105,150,210,68,43,49,85,99
128,140,207,68,42,47,86,98
129,141,186,59,35,45,86,100
126,137,180,56,34,52,101,148
126,166,210,70,41,49,100,140
120,183,255,73,42,49,101,142
85,189,277,78,45,56,110,147
90,202,288,90,50,58,106,142
125,212,291,88,47,49,78,94
144,194,266,80,46,53,92,100
147,204,237,78,48,55,93,101
151,208,295,77,48,53,128,96
147,198,299,70,42,58,152,116
122,203,312,75,42,58,158,131
94,227,327,87,46,66,170,150
95,222,328,85,45,64,171,158
187,235,295,93,45,59,140,163
228,275,316,96,50,59,121,157
228,273,308,93,52,61,115,140
237,257,289,79,46,47,80,116
234,252,288,82,49,52,80,121
173,248,282,81,51,54,84,123
116,207,292,82,49,47,76,118
112,204,300,84,47,45,77,124
88,205,299,83,46,44,75,117
92,196,305,82,46,47,86,152
79,189,312,81,45,48,88,145
85,186,269,73,42,47,84,140
83,181,248,68,41,49,90,135
92,170,245,76,45,57,123,151
110,184,248,77,44,52,122,147
113,184,216,71,40,50,121,146
107,222,223,71,39,50,121,146
111,233,251,81,44,54,120,150
108,230,317,91,42,46,87,137
94,243,327,91,42,45,77,91
88,232,334,94,45,46,72,85
87,187,349,94,47,45,74,90
78,162,332,93,47,44,71,83
75,170,283,74,43,42,80,107
65,150,294,80,42,41,76,105
99,169,272,74,39,38,76,110
106,185,269,78,39,40,72,105
147,191,273,76,40,42,104,138
152,186,250,77,42,45,101,122
154,174,225,64,40,43,99,118
139,149,221,61,41,44,98,126
134,128,244,65,45,44,101,132
99,144,255,65,43,43,76,116
86,162,327,78,49,48,73,115
80,154,309,79,50,47,71,121
77,151,324,86,51,49,76,120
84,158,295,81,47,49,83,127
77,141,283,76,46,46,81,117
84,121,256,82,43,38,74,112
80,127,288,94,47,40,72,100
79,138,283,90,46,39,70,90
72,177,267,87,46,41,73,120
69,185,268,88,46,40,71,127
