Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
156,370,273,82,56,96,153,344
173,410,298,96,61,89,138,322
178,413,299,96,60,81,130,271
188,374,276,100,62,92,130,267
193,352,269,91,54,110,136,273
158,311,295,87,49,107,122,198
141,252,285,68,45,118,140,220
151,285,285,74,60,125,127,219
145,282,279,65,57,117,122,206
138,306,290,72,63,99,126,199
184,330,283,76,63,97,130,207
188,322,275,77,62,84,113,201
180,345,268,82,51,107,118,208
182,379,275,122,68,110,127,220
189,434,313,120,66,107,126,236
158,419,288,120,68,125,130,230
176,426,292,127,72,138,134,214
183,386,293,122,73,121,134,212
174,340,285,84,59,122,141,222
168,246,251,79,56,137,146,210
211,300,332,78,54,128,167,262
194,340,322,70,50,117,168,275
182,335,313,66,45,114,166,268
194,343,320,70,46,110,172,286
207,337,298,72,49,95,167,301
191,269,194,68,46,89,139,254
194,213,223,71,48,86,133,234
238,353,259,86,57,93,169,287
235,428,288,84,55,91,156,262
241,444,313,81,51,100,161,246
211,452,321,80,52,104,162,236
212,471,344,84,52,102,163,241
157,398,335,68,40,91,121,197
158,325,330,68,39,102,120,195
138,341,314,76,44,91,110,198
144,328,306,76,42,82,103,204
155,311,287,68,39,85,107,259
156,315,282,67,41,84,101,246
149,337,259,65,40,83,99,235
139,291,269,57,40,81,108,219
166,306,271,63,50,81,119,261
149,298,250,61,49,89,133,277
152,322,239,56,50,97,131,276
152,319,273,63,54,101,143,288
153,325,287,62,51,104,132,289
131,341,283,60,47,109,119,249
146,388,305,72,53,106,110,185
156,356,301,78,53,114,140,206
157,370,269,74,50,107,132,199
161,369,243,73,52,103,132,204
150,367,249,69,49,96,140,212
210,322,212,76,49,98,151,209
212,316,210,78,47,90,145,215
219,290,199,78,49,84,136,212
218,348,226,83,48,87,137,229
215,334,249,85,49,98,148,246
144,352,256,77,48,94,131,274
125,352,255,73,49,98,111,270
116,347,293,71,46,106,122,283
116,384,297,77,49,106,142,291
126,436,281,89,54,110,141,302
163,406,280,88,51,116,138,271
158,399,280,86,50,107,146,278
167,412,249,88,53,98,159,314
165,351,193,79,50,101,150,299
157,323,238,70,41,87,140,268
144,392,291,73,48,81,182,370
149,399,309,77,50,86,180,356
133,400,333,83,51,86,169,324
134,380,350,84,54,92,176,342
135,377,329,79,55,111,173,342
126,324,299,77,54,120,183,261
143,395,292,75,57,128,206,294
152,389,316,76,58,131,208,290
155,400,360,88,61,130,199,300
153,371,395,101,67,122,199,312
171,487,424,97,63,117,159,291
167,454,422,94,60,117,163,306
166,456,412,90,59,113,162,366
180,445,365,83,54,112,171,346
183,465,331,75,49,114,174,358
154,370,299,82,53,114,183,416
163,402,324,107,60,107,157,390
169,384,289,109,62,114,175,368
149,378,323,112,63,126,184,415
148,398,306,109,58,120,198,421
204,368,304,104,56,132,197,370
185,330,297,87,48,134,190,350
196,335,346,91,45,129,174,317
201,338,330,88,44,116,195,325
207,382,361,88,47,131,179,303
146,385,341,96,46,109,167,292
204,387,319,94,44,96,168,298
189,407,267,93,44,100,161,290
192,441,259,91,42,97,126,237
189,361,220,92,41,65,126,243
204,368,212,90,43,68,121,237
149,343,222,87,44,83,119,239
151,368,253,80,46,89,125,236
142,352,244,92,50,92,107,195
163,365,232,90,52,91,126,192
144,347,231,80,49,91,125,192
142,398,259,80,49,84,147,269
163,349,225,80,50,87,147,275
158,329,234,64,46,85,144,281
150,320,250,92,58,95,138,282
157,324,253,101,63,99,144,285
176,349,267,149,77,124,179,296
148,360,278,164,82,118,186,312
171,347,257,168,85,115,200,349
155,368,266,156,77,127,203,350
157,475,321,157,78,128,203,350
136,448,289,113,64,98,156,280
147,432,283,123,71,100,148,278
124,454,314,124,70,101,135,257
134,463,304,124,78,101,135,328
128,378,252,119,76,105,130,341
123,353,239,124,78,110,132,388
149,359,248,103,70,134,127,369
191,338,262,115,63,126,106,300
207,301,275,117,64,125,114,282
208,285,276,108,62,121,114,259
194,262,283,97,54,118,99,244
207,291,331,99,59,95,112,299
164,296,349,93,54,94,122,300
148,300,342,89,50,89,138,380
174,306,347,95,51,92,139,361
178,316,371,95,50,88,151,385
170,386,348,87,40,91,153,346
165,378,329,84,41,75,148,348
166,416,329,97,55,75,141,299
141,418,348,114,60,86,131,287
132,447,332,113,59,92,136,263
129,385,300,116,64,110,130,263
140,380,291,119,68,119,144,311
132,337,304,116,60,121,134,281
136,334,289,107,56,128,174,332
151,344,329,116,63,126,189,336
190,365,332,111,59,110,193,340
193,385,328,107,55,114,199,334
195,392,350,109,58,120,200,344
195,390,371,103,58,104,181,310
179,341,320,88,55,113,170,302
151,339,303,89,60,110,188,310
182,418,356,120,70,100,191,305
188,444,319,122,70,104,196,301
193,460,377,132,78,115,195,299
227,529,476,163,92,110,206,336
231,516,495,166,89,108,211,431
203,424,472,139,82,107,211,423
201,406,501,141,84,110,217,423
198,438,494,139,76,104,221,423
155,386,439,114,58,111,226,450
134,405,419,113,61,124,231,378
136,449,413,122,64,133,217,383
128,434,375,113,58,120,211,414
117,394,343,103,57,126,197,407
126,396,302,100,61,126,189,364
138,414,341,100,58,117,173,384
132,379,323,96,55,102,178,379
151,383,342,95,61,110,181,346
162,376,340,102,65,103,195,360
158,368,343,104,64,97,189,347
150,302,282,103,65,110,183,372
149,318,282,99,63,111,180,367
147,330,264,104,62,102,183,394
148,333,206,101,59,99,178,394
163,312,227,99,62,114,183,442
166,357,267,106,66,99,167,364
170,349,271,122,74,120,220,419
160,362,282,121,75,121,220,399
171,393,313,129,80,129,238,407
164,404,319,139,82,131,263,383
167,387,318,141,79,130,275,396
166,377,316,130,72,114,229,320
160,354,306,125,69,133,227,318
154,321,277,111,59,126,246,376
149,355,243,96,50,115,219,371
128,331,216,81,45,119,211,365
133,350,228,81,44,132,219,364
140,366,279,81,45,120,222,357
128,434,323,85,55,125,188,277
128,410,343,80,56,116,159,222
137,429,352,82,57,113,159,220
128,416,354,76,59,102,173,244
134,416,332,83,61,96,153,235
141,335,285,78,53,107,156,280
175,288,251,89,55,117,181,350
192,272,273,92,56,118,178,371
309,320,270,101,55,117,176,381
315,301,250,99,51,115,180,388
310,302,240,103,52,105,159,367
297,304,238,97,49,91,144,341
285,302,188,99,50,98,152,315
155,274,190,94,52,92,142,295
144,309,189,101,57,104,142,286
140,379,217,100,63,99,176,360
128,389,217,93,62,107,167,344
125,381,209,85,59,97,167,377
144,404,196,88,56,105,173,413
134,403,207,89,58,93,182,459
136,357,223,103,53,106,154,392
