Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
220,95,197,135,42,42,97,189
229,120,192,123,40,39,90,187
227,116,254,149,38,42,87,172
232,116,261,157,40,42,90,185
217,117,270,156,33,42,92,188
186,122,266,149,31,42,99,198
183,92,280,159,35,41,91,196
197,89,270,172,35,38,95,247
263,91,253,169,35,37,94,236
251,101,252,168,34,36,97,252
276,91,288,201,39,31,78,248
272,94,279,198,38,33,81,247
304,95,250,176,43,42,104,239
260,97,258,180,44,43,102,245
258,109,245,186,48,44,97,199
227,113,195,159,45,44,115,193
230,110,182,153,45,45,118,204
208,112,179,152,39,38,99,167
197,106,201,155,41,36,99,157
194,92,234,164,39,37,104,194
198,101,231,155,36,35,91,201
279,105,242,158,36,34,97,208
256,102,241,162,38,34,113,203
256,121,260,165,39,40,115,209
251,128,264,158,41,41,113,189
247,119,256,150,42,41,108,183
198,148,250,151,39,42,103,198
208,152,298,170,43,41,86,223
212,144,288,166,39,33,83,234
212,135,275,160,36,30,94,257
210,141,286,169,36,33,93,258
194,110,297,178,38,31,91,239
186,109,250,163,35,34,100,208
206,113,241,152,35,38,104,252
209,109,230,145,36,39,100,260
204,112,237,154,34,37,96,259
186,112,308,188,37,36,95,285
209,111,308,192,34,34,97,327
193,107,292,194,36,32,107,308
225,132,285,198,36,32,99,290
226,129,276,200,38,33,99,284
218,123,174,176,36,37,101,261
234,132,148,160,37,35,90,235
229,125,140,159,35,37,91,210
204,105,253,172,39,39,89,205
204,105,263,159,40,39,89,236
207,112,285,144,38,38,96,289
203,93,290,132,37,41,99,286
208,110,295,132,39,42,94,276
226,112,284,138,35,41,94,268
226,107,306,148,33,40,95,249
227,113,288,147,32,38,88,191
183,127,280,147,33,38,87,239
220,121,282,147,34,40,89,258
220,119,226,141,37,39,107,299
221,130,233,156,38,40,109,307
208,122,288,159,40,42,112,303
214,111,302,170,40,41,109,251
193,106,330,202,40,34,102,246
225,108,319,193,38,33,88,203
225,109,308,198,38,36,86,184
226,104,263,203,37,35,74,171
222,103,247,194,35,34,74,216
254,101,204,163,34,36,74,216
206,97,216,158,32,36,71,205
203,96,215,125,33,32,68,224
200,103,221,102,35,32,72,258
330,109,227,108,42,42,92,240
307,127,228,101,42,41,87,226
305,126,260,129,44,42,82,234
315,116,231,129,43,43,97,263
316,114,244,143,43,43,95,266
170,106,243,146,37,33,75,252
180,88,262,155,38,34,75,246
185,102,233,143,33,34,81,245
220,108,230,140,32,33,70,212
226,117,204,133,30,32,75,178
230,130,217,136,29,32,73,166
200,130,211,147,25,27,68,190
223,122,183,137,30,26,76,251
192,118,191,135,29,27,78,254
210,116,212,142,32,28,74,254
207,109,230,147,35,29,74,252
197,118,232,141,36,29,75,243
185,120,248,147,32,29,89,206
171,112,269,153,38,30,88,195
138,104,255,141,35,29,86,183
140,103,232,121,30,28,89,191
147,100,262,126,38,31,90,193
188,99,249,121,38,30,72,167
189,98,222,117,34,30,74,154
192,110,241,130,35,30,73,150
188,101,232,139,36,30,71,149
197,102,181,117,31,30,73,188
171,95,191,106,33,29,69,229
223,114,204,109,35,26,63,238
223,103,206,109,33,26,65,249
225,106,208,99,36,27,61,257
211,93,204,102,33,25,62,277
224,114,198,118,29,26,54,245
169,95,210,153,32,29,47,232
164,93,193,147,35,31,46,225
164,94,201,156,32,32,58,220
165,93,195,156,34,32,62,191
137,63,223,162,34,40,103,304
186,88,209,142,31,39,107,325
210,89,226,156,31,38,106,334
212,84,225,155,31,39,106,347
222,107,247,162,33,39,110,343
269,129,233,150,33,31,76,247
241,119,241,140,32,36,78,263
225,121,224,138,32,40,85,254
231,128,226,140,35,38,78,234
230,119,203,131,34,40,80,230
175,122,189,126,34,50,121,257
201,128,180,122,37,52,130,266
206,132,180,105,36,51,129,264
209,125,174,90,34,51,133,300
221,117,190,110,34,50,135,343
216,95,211,115,35,39,105,327
192,96,257,136,33,30,88,299
184,93,254,161,32,29,84,300
187,100,248,162,34,33,86,305
190,103,235,145,33,31,71,253
216,101,236,160,38,35,78,256
231,95,193,154,37,36,82,260
236,88,204,159,44,40,86,262
229,83,210,165,44,38,80,260
211,89,219,166,45,38,81,264
222,103,212,160,40,37,75,252
202,114,220,167,40,38,74,257
210,115,226,154,33,35,70,302
210,116,221,146,31,33,69,263
208,111,217,147,34,37,72,281
147,110,198,135,34,37,60,279
171,89,199,111,35,40,56,263
160,90,180,95,37,39,78,284
171,96,185,108,38,40,87,299
174,107,181,112,34,40,83,267
176,102,199,117,35,39,82,265
169,104,167,108,33,34,83,265
212,102,164,109,29,31,71,198
209,103,167,107,28,31,75,174
205,110,174,115,28,26,80,251
202,109,175,130,30,27,82,262
242,112,170,134,30,29,88,265
205,121,200,155,32,31,81,299
196,116,249,187,33,31,82,339
198,97,266,190,35,32,83,297
199,93,257,178,33,32,83,357
126,89,264,186,34,33,75,352
117,84,240,173,32,35,77,320
178,87,184,130,30,33,62,308
219,103,145,115,26,32,62,296
225,100,146,130,27,32,64,216
223,104,130,124,25,26,62,231
224,98,157,135,29,27,60,217
182,132,155,139,29,27,59,171
184,125,192,144,31,31,57,174
174,125,192,130,32,30,53,169
173,137,203,132,34,33,57,183
179,141,181,121,32,31,55,183
179,105,173,114,33,32,55,181
177,97,140,106,29,29,74,222
182,96,133,123,29,30,83,239
200,82,134,118,29,33,83,222
191,81,278,159,36,32,84,232
190,102,303,169,36,33,88,238
185,109,303,176,39,36,85,202
181,120,311,168,40,37,82,193
175,140,322,175,42,38,82,192
180,136,226,136,37,39,88,193
173,123,210,136,36,40,82,187
208,124,220,130,36,38,67,208
249,128,209,123,36,41,74,207
243,99,192,111,34,36,71,195
243,98,187,129,33,35,63,218
278,98,209,137,37,32,67,271
234,87,193,154,37,29,73,257
190,63,192,159,34,26,69,253
224,70,223,168,33,25,73,263
226,72,238,158,33,25,75,230
213,70,250,151,29,24,74,211
264,72,263,128,28,28,66,203
276,72,266,124,29,26,57,195
250,67,238,123,28,30,50,202
255,88,228,122,28,30,50,213
276,95,186,116,28,30,50,187
275,99,202,135,34,30,58,306
293,100,196,150,35,32,65,328
294,115,221,153,37,29,67,318
290,107,220,146,42,30,66,313
257,102,217,155,43,30,66,323
230,97,187,140,38,30,64,253
197,96,188,124,36,28,59,235
204,87,205,122,42,31,57,231
197,87,209,140,40,31,56,229
187,87,237,136,40,38,59,235
168,94,247,139,39,40,53,201
191,95,247,138,39,40,50,189
198,87,219,152,39,41,48,211
202,83,196,136,35,39,48,216
201,86,161,127,34,38,62,189
174,86,148,125,35,34,63,192
