Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
172,561,1000,330,187,151,121,123
165,464,1025,331,193,165,124,126
157,442,1079,373,200,162,123,126
140,386,951,307,166,156,108,103
143,391,994,305,153,154,100,94
150,442,900,307,174,138,98,99
140,431,866,293,175,130,93,99
137,410,747,208,153,131,93,95
153,511,796,210,177,139,101,103
153,501,696,193,191,134,98,123
158,491,687,183,176,149,102,135
180,542,698,204,187,161,111,141
205,539,734,195,214,163,115,144
198,427,791,210,202,160,112,141
196,422,850,199,194,171,118,122
190,481,952,260,193,160,117,105
170,441,1016,289,178,147,110,95
174,477,1030,308,182,152,116,99
184,495,1027,297,186,152,115,99
185,528,972,304,188,141,109,101
183,452,918,264,189,147,105,96
180,438,845,228,183,137,102,88
154,447,864,213,165,129,90,84
164,448,819,256,212,148,112,106
161,439,841,254,206,149,114,107
154,430,843,261,204,144,114,106
161,442,832,246,202,145,115,109
151,450,859,273,186,143,114,101
119,423,823,234,110,119,92,75
111,424,830,222,108,116,86,71
134,421,825,195,130,135,99,84
145,403,863,194,138,141,94,84
151,416,724,144,144,141,95,86
167,414,773,161,167,146,101,94
166,359,741,158,163,139,107,89
166,364,667,165,153,123,94,85
156,398,593,169,149,123,99,86
148,306,646,162,140,110,91,83
158,411,611,164,137,112,95,91
168,444,639,209,183,129,104,103
184,448,706,213,195,131,114,109
185,415,803,217,200,142,116,151
184,444,851,220,204,141,121,154
163,348,876,204,195,142,121,153
161,386,956,208,170,142,111,152
133,366,952,213,152,153,106,147
136,376,854,216,152,142,101,104
142,363,794,217,149,146,98,102
154,404,868,266,156,146,83,94
148,345,804,233,163,146,93,90
155,437,809,233,190,156,98,109
147,430,881,228,183,148,96,106
150,463,910,246,195,156,101,113
169,501,917,223,205,155,116,122
183,542,887,224,195,154,114,125
213,534,861,230,198,140,110,134
214,544,785,227,196,143,110,145
225,531,745,224,190,147,112,149
213,599,614,199,184,156,102,144
205,585,756,235,190,156,101,150
160,530,755,229,160,164,102,124
159,560,848,234,166,171,108,121
139,608,850,221,159,159,110,119
121,474,878,213,136,143,109,117
125,477,890,199,135,147,111,107
125,484,947,201,130,132,114,130
156,494,971,220,141,137,117,137
161,411,949,215,142,143,113,140
175,447,891,227,158,150,118,152
170,419,820,228,161,150,124,155
171,435,777,225,160,141,116,134
152,407,673,206,158,134,118,126
156,399,745,203,159,132,122,113
156,365,757,193,144,127,116,113
157,395,710,160,129,105,104,107
154,409,684,141,125,108,102,110
174,427,716,140,124,113,100,137
171,429,701,152,129,112,92,140
175,488,718,162,145,116,101,139
163,488,691,175,137,127,100,136
175,519,735,213,154,131,105,153
149,491,695,216,147,123,95,124
149,490,665,234,155,120,100,122
155,445,749,255,161,127,112,122
191,436,837,264,174,138,137,197
182,405,826,252,161,137,137,197
178,389,833,249,163,141,139,203
175,411,848,233,147,144,139,209
151,420,853,218,123,138,118,200
125,405,852,206,131,130,111,147
134,363,799,190,136,147,116,140
141,366,864,186,127,147,119,144
167,454,844,200,162,158,127,138
176,447,765,178,165,161,134,149
165,452,812,179,149,185,141,133
158,471,845,178,151,185,145,124
160,460,767,183,146,182,138,107
127,375,845,242,114,177,133,103
115,411,817,245,107,174,135,100
149,426,796,283,139,151,140,160
155,440,890,296,141,152,141,178
154,485,939,324,164,176,177,198
160,476,908,269,164,169,177,200
173,436,959,268,174,171,173,210
163,433,895,253,163,170,156,174
157,450,866,246,150,155,150,151
157,460,969,234,145,136,113,133
166,507,919,230,150,148,114,135
172,499,869,252,151,161,124,138
154,510,923,227,132,166,122,132
153,522,867,224,153,174,122,139
193,578,766,266,175,187,126,164
206,519,823,301,192,217,136,166
206,525,865,290,204,223,146,158
205,515,856,308,208,215,143,163
208,483,924,324,211,210,143,165
185,388,932,325,210,205,137,139
175,442,1077,316,203,172,130,137
182,446,1193,366,199,153,108,126
198,460,1206,426,231,159,114,144
227,478,1227,443,234,164,110,153
246,551,1183,431,260,178,133,166
259,578,1114,443,261,201,144,171
288,658,1018,447,293,262,178,202
332,722,1099,429,341,309,201,207
325,728,1103,401,344,311,206,200
333,764,1143,426,348,308,204,194
322,734,1080,444,347,294,194,189
291,686,1145,458,324,253,165,151
237,610,1059,418,275,234,148,128
219,590,1039,416,285,238,149,128
183,491,1141,383,268,239,145,117
184,522,1160,340,280,244,158,129
188,526,1105,298,280,232,164,136
213,540,1199,348,307,215,164,147
218,510,1166,370,297,207,172,152
223,542,1063,412,287,184,165,153
217,504,1039,408,264,168,150,138
219,531,1030,472,296,193,161,144
197,604,962,469,273,166,161,127
233,640,1056,534,339,220,178,151
240,633,1118,495,342,227,174,154
233,668,1185,522,352,248,179,156
233,625,1160,443,317,226,165,146
259,571,1107,436,344,251,176,165
239,601,997,336,293,211,147,143
269,639,956,405,354,262,182,167
